SCO6,Andrew Robertson,Escocia,Grupo C,Comum
PAR8,Junior Alonso,Paraguai,Grupo D,Comum
CUW7,Roshon Van Eijma,Curacao,Grupo E,Comum
FRA11,Manu Kone,Franca,Grupo I,Comum
NZL6,Tim Payne,Nova Zelandia,Grupo G,Comum
IRN11,Saeed Ezatolahi,Ira,Grupo G,Comum
PAN11,Anibal Godoy,Panama,Grupo L,Comum
TUN4,Van Valery,Tunisia,Grupo F,Comum
GER8,Ridle Baku,Alemanha,Grupo E,Comum
AUS2,Mathew Ryan,Australia,Grupo D,Comum
COL17,Jon Arias,Colombia,Grupo K,Comum
JOR14,Amer Jamous,Jordania,Grupo J,Comum
CUW18,Jeremy Antonisse,Curacao,Grupo E,Comum
USA19,Haji Wright,Estados Unidos,Grupo D,Comum
NOR13,Foto da Equipe,Noruega,Grupo I,Comum
GHA9,Abdul Issahaku Fatawu,Gana,Grupo L,Comum
CPV5,Diney,Cabo Verde,Grupo H,Comum
ALG12,Nabil Bentalab,Argelia,Grupo J,Comum
AUS15,Connor Metcalfe,Australia,Grupo D,Comum
BIH18,Edin Dzeko,Bosnia,Grupo B,Comum
NED19,Wout Weghorst,Holanda,Grupo F,Comum
TUR5,Abdulkerim Bardakci,Turquia,Grupo D,Comum
BEL7,Maxim De Cuyper,Belgica,Grupo G,Comum
CPV3,Logan Costa,Cabo Verde,Grupo H,Comum
KOR6,Young-woo Seol,Coreia do Sul,Grupo A,Comum
JPN7,Tsuyoshi Watanabe,Japao,Grupo F,Comum
KOR11,In-beom Hwang,Coreia do Sul,Grupo A,Comum
IRQ20,Mohanad Ali,Iraque,Grupo I,Comum
ECU13,Foto da Equipe,Equador,Grupo E,Comum
EGY14,Mohamed Lasheen,Egito,Grupo G,Comum
MEX10,Edson Alvarez,Mexico,Grupo A,Comum
GER15,Jamal Musiala,Alemanha,Grupo E,Comum
EGY16,Osama Faisal,Egito,Grupo G,Comum
TUR19,Kerem Akturkoglu,Turquia,Grupo D,Comum
MAR1,Escudo,Marrocos,Grupo C,Especial
EGY15,Emam Ashour,Egito,Grupo G,Comum
BRA3,Bento,Brasil,Grupo C,Comum
MAR2,Yassine Bounou,Marrocos,Grupo C,Comum
CUW19,Gervane Kastaneer,Curacao,Grupo E,Comum
MAR2,Yassine Bounou,Marrocos,Grupo C,Comum
URU8,Guillermo Varela,Uruguai,Grupo H,Comum
PAN14,Edgar Barcenas,Panama,Grupo L,Comum
AUT9,Alexander Prass,Austria,Grupo J,Comum
URU16,Maxi Araujo,Uruguai,Grupo H,Comum
CUW1,Escudo,Curacao,Grupo E,Especial
SEN11,Pape Gueye,Senegal,Grupo I,Comum
NZL18,Elijah Just,Nova Zelandia,Grupo G,Comum
SCO6,Andrew Robertson,Escocia,Grupo C,Comum
CAN1,Escudo,Canada,Grupo B,Especial
FRA20,Kylian Mbappe,Franca,Grupo I,Comum
PAR8,Junior Alonso,Paraguai,Grupo D,Comum
CPV16,Jovane Cabral,Cabo Verde,Grupo H,Comum
CRO15,Petar Sucic,Croacia,Grupo L,Comum
BEL11,Nicolas Raskin,Belgica,Grupo G,Comum
AUS11,Jackson Irvine,Australia,Grupo D,Comum
NOR13,Foto da Equipe,Noruega,Grupo I,Comum
CAN13,Foto da Equipe,Canada,Grupo B,Comum
AUT15,Nicolas Seiwald,Austria,Grupo J,Comum
URU15,Nicolas de la Cruz,Uruguai,Grupo H,Comum
IRN5,Milad Mohammadi,Ira,Grupo G,Comum
COD13,Foto da Equipe,RD Congo,Grupo K,Comum
URU16,Maxi Araujo,Uruguai,Grupo H,Comum
IRQ5,Akam Hashem,Iraque,Grupo I,Comum
NOR18,Jorgen Strand Larsen,Noruega,Grupo I,Comum
MAR2,Yassine Bounou,Marrocos,Grupo C,Comum
POR4,Ruben Dias,Portugal,Grupo K,Comum
CIV19,Evann Guessand,Costa do Marfim,Grupo E,Comum
COL1,Escudo,Colombia,Grupo K,Especial
PAR3,Orlando Gill,Paraguai,Grupo D,Comum
MEX14,Erick Sanchez,Mexico,Grupo A,Comum
IRQ18,Ali Al-Hamadi,Iraque,Grupo I,Comum
CZE20,Patrik Schick,Republica Tcheca,Grupo A,Comum
MEX5,Cesar Montes,Mexico,Grupo A,Comum
SEN14,Lamine Camara,Senegal,Grupo I,Comum
PAR8,Junior Alonso,Paraguai,Grupo D,Comum
ARG17,Lionel Messi,Argentina,Grupo J,Comum
NED17,Memphis Depay,Holanda,Grupo F,Comum
MEX7,Israel Reyes,Mexico,Grupo A,Comum
SEN16,Ismaila Sarr,Senegal,Grupo I,Comum
QAT11,Assim Madibo,Qatar,Grupo B,Comum
USA11,Christian Roldan,Estados Unidos,Grupo D,Comum
GER17,Kai Havertz,Alemanha,Grupo E,Comum
CZE18,Vacilav Cerny,Republica Tcheca,Grupo A,Comum
CZE1,Escudo,Republica Tcheca,Grupo A,Especial
ENG7,Reece James,Inglaterra,Grupo L,Comum
TUR14,Arda Guler,Turquia,Grupo D,Comum
GHA4,Mohammed Salisu,Gana,Grupo L,Comum
ENG3,John Stones,Inglaterra,Grupo L,Comum
ESP17,Nico Williams,Espanha,Grupo H,Comum
BRA18,Gabriel Martinelli,Brasil,Grupo C,Comum
